order_id,customer_id,product_id,product_name,category,order_date,quantity,unit_price,sales_amount,region
ORD001,CUST1001,PROD501,Laptop,Electronics,2024-11-01,1,899.99,899.99,North
ORD002,CUST1002,PROD502,Wireless Mouse,Electronics,2024-11-01,2,29.99,59.98,South
ORD003,CUST1003,PROD503,Office Chair,Furniture,2024-11-02,1,249.99,249.99,East
ORD004,CUST1001,PROD504,Desk Lamp,Furniture,2024-11-02,3,39.99,119.97,North
ORD005,CUST1004,PROD505,Notebook,Stationery,2024-11-03,5,4.99,24.95,West
ORD006,CUST1005,PROD501,Laptop,Electronics,2024-11-03,1,899.99,899.99,South
ORD007,CUST1006,PROD506,USB Cable,Electronics,2024-11-04,10,9.99,99.90,East
ORD008,CUST1002,PROD507,Standing Desk,Furniture,2024-11-04,1,399.99,399.99,South
ORD009,CUST1007,PROD508,Monitor,Electronics,2024-11-05,2,299.99,599.98,North
ORD010,CUST1008,PROD509,Keyboard,Electronics,2024-11-05,1,79.99,79.99,West
ORD011,CUST1003,PROD510,Mouse Pad,Electronics,2024-11-06,4,14.99,59.96,East
ORD012,CUST1009,PROD503,Office Chair,Furniture,2024-11-06,2,249.99,499.98,West
ORD013,CUST1010,PROD511,Pen Set,Stationery,2024-11-07,3,12.99,38.97,North
ORD014,CUST1004,PROD512,Webcam,Electronics,2024-11-07,1,89.99,89.99,West
ORD015,CUST1011,PROD513,Headphones,Electronics,2024-11-08,1,149.99,149.99,South
ORD016,CUST1005,PROD514,Desk Organizer,Furniture,2024-11-08,2,24.99,49.98,South
ORD017,CUST1012,PROD515,Printer Paper,Stationery,2024-11-09,5,19.99,99.95,East
ORD018,CUST1006,PROD501,Laptop,Electronics,2024-11-09,1,899.99,899.99,East
ORD019,CUST1013,PROD516,External SSD,Electronics,2024-11-10,1,129.99,129.99,North
ORD020,CUST1007,PROD517,Conference Phone,Electronics,2024-11-10,1,199.99,199.99,North
ORD021,CUST1014,PROD518,Whiteboard,Furniture,2024-11-11,1,79.99,79.99,West
ORD022,CUST1008,PROD519,Markers,Stationery,2024-11-11,6,8.99,53.94,West
ORD023,CUST1015,PROD520,Filing Cabinet,Furniture,2024-11-12,1,189.99,189.99,South
ORD024,CUST1001,PROD502,Wireless Mouse,Electronics,2024-11-12,1,29.99,29.99,North
ORD025,CUST1016,PROD508,Monitor,Electronics,2024-11-13,3,299.99,899.97,East
ORD026,CUST1010,PROD521,Tablet,Electronics,2024-11-13,1,349.99,349.99,North
ORD027,CUST1017,PROD522,Power Strip,Electronics,2024-11-14,4,24.99,99.96,South
ORD028,CUST1011,PROD523,Surge Protector,Electronics,2024-11-14,2,34.99,69.98,South
ORD029,CUST1018,PROD503,Office Chair,Furniture,2024-11-15,1,249.99,249.99,West
ORD030,CUST1012,PROD524,Calculator,Electronics,2024-11-15,3,19.99,59.97,East
